node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,status,notes
SkyWorldCastleZone::stage_change::sora001::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,sora001,raw,obj2352,Stage Change sora001,19157.968,45250.000,-60887.976,0;1;2;3,needs_name,Raw UnitConfigName=ChangeStageArea. Target=SkyWorldCloudBonusExStage.
SkyWorldCastleZone::stage_change::start::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,start,raw,obj3819,Stage Change start,50164.610,54300.000,-82348.674,1;2;3,needs_name,Raw UnitConfigName=ShineGrand. Target=SkyWorldHomeStage.
SkyWorldCastleZone::stage_change::tukkun000_enter::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun000_enter,raw,obj9906463,Stage Change tukkun000_enter,20466.116,39800.000,-60145.514,0;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=TsukkunRotateExStage.
SkyWorldCastleZone::stage_change::tukkun000_exit::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun000_exit,raw,obj9904067,Stage Change tukkun000_exit,20607.538,39800.000,-59226.275,0;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=TsukkunRotateExStage.
SkyWorldCastleZone::stage_change::tukkun001_enter::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun001_enter,raw,obj9903040,Stage Change tukkun001_enter,32906.250,32609.675,-35101.905,0;1;2;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=TsukkunClimbExStage.
SkyWorldCastleZone::stage_change::tukkun001_exit::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun001_exit,raw,obj9904008,Stage Change tukkun001_exit,33498.098,32609.675,-35446.266,0;1;2;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=TsukkunClimbExStage.
SkyWorldCastleZone::start,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,embedded_zone,,,,SkyWorldCastleZone,21350.000,28900.000,-49150.000,,seed,Embedded map landmark from SkyWorldCastleZone.
SkyWorldCloudBonusExStage::stage_change::sora001::raw,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,stage_change,StageData,sora001,raw,obj1745,Stage Change sora001,1863.807,-11950.000,16974.182,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=ChangeStageArea. Target=SkyWorldHomeStage.
SkyWorldCloudBonusExStage::start,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SkyWorldCloudBonusExStage::entrance::sora001::sub_far,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,substage_entrance,EntranceDB,sora001,sub_far,obj1745;obj1747;obj1748;obj2469;obj2475;obj2476;obj2477;obj2478,Substage far side: sora001,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea;GrowPlantStartStage.
SkyWorldCloudBonusExStage::entrance::sora001::sub_near,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,substage_entrance,EntranceDB,sora001,sub_near,obj1745;obj1747;obj1748;obj2469;obj2475;obj2476;obj2477;obj2478,Substage near side: sora001,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea;GrowPlantStartStage.
SkyWorldCostumeStage::stage_change::byoubu::raw,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,stage_change,StageData,byoubu,raw,obj184,Stage Change byoubu,9100.000,-50.000,-33521.594,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=ChangeStageArea. Target=SkyWorldHomeStage.
SkyWorldCostumeStage::start,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SkyWorldCostumeStage::entrance::byoubu::sub_far,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,substage_entrance,EntranceDB,byoubu,sub_far,obj184,Substage far side: byoubu,9100.000,-50.000,-33521.594,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.
SkyWorldCostumeStage::entrance::byoubu::sub_near,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,substage_entrance,EntranceDB,byoubu,sub_near,obj184,Substage near side: byoubu,9100.000,-50.000,-33521.594,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.
SkyWorldHomeStage::checkpoint::obj1626,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1626,Checkpoint obj1626,-26500.000,6850.000,21950.000,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldHomeStage::checkpoint::obj1726,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1726,Checkpoint obj1726,-55777.672,3600.000,27343.816,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldHomeStage::checkpoint::obj2028,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj2028,Checkpoint obj2028,-27800.000,21778.000,-30900.000,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldHomeStage::checkpoint::obj2697,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj2697,Checkpoint obj2697,19450.000,42500.000,20650.000,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldHomeStage::entrance::Patakaron02::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,Patakaron02,home_in,,Home entrance: Patakaron02,,,,,generated,Links to KaronWingTowerStage.
SkyWorldHomeStage::entrance::Patakaron02::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,Patakaron02,home_out,,Home return: Patakaron02,,,,,generated,Links to KaronWingTowerStage.
SkyWorldHomeStage::entrance::byoubu::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,byoubu,home_in,obj2583,Home entrance: byoubu,-29151.617,21770.000,-32900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Links to SkyWorldCostumeStage. StageData anchor UnitConfigName=DoorWarpStageChange.
SkyWorldHomeStage::entrance::byoubu::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,byoubu,home_out,obj2583,Home return: byoubu,-29151.617,21770.000,-32900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Links to SkyWorldCostumeStage. StageData anchor UnitConfigName=DoorWarpStageChange.
SkyWorldHomeStage::entrance::jizo01::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,jizo01,home_in,,Home entrance: jizo01,,,,,generated,Links to JizoSwitchExStage.
SkyWorldHomeStage::entrance::jizo02::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,jizo02,home_out,,Home return: jizo02,,,,,generated,Links to JizoSwitchExStage.
SkyWorldHomeStage::entrance::shop::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop,home_in,obj1249,Home entrance: shop,-29150.000,21750.000,-32350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Links to SkyWorldShopStage. StageData anchor UnitConfigName=ChangeStageArea.
SkyWorldHomeStage::entrance::shop::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop,home_out,obj1249,Home return: shop,-29150.000,21750.000,-32350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Links to SkyWorldShopStage. StageData anchor UnitConfigName=ChangeStageArea.
SkyWorldHomeStage::entrance::shop_dress::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop_dress,home_in,,Home entrance: shop_dress,,,,,generated,Links to SkyWorldTreasureStage.
SkyWorldHomeStage::entrance::shop_dress::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop_dress,home_out,,Home return: shop_dress,,,,,generated,Links to SkyWorldTreasureStage.
SkyWorldHomeStage::entrance::sora001::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,sora001,home_in,,Home entrance: sora001,,,,,generated,Links to SkyWorldCloudBonusExStage.
SkyWorldHomeStage::entrance::sora001::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,sora001,home_out,,Home return: sora001,,,,,generated,Links to SkyWorldCloudBonusExStage.
SkyWorldHomeStage::entrance::tukkun000_enter::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun000_enter,home_in,,Home entrance: tukkun000_enter,,,,,generated,Links to TsukkunRotateExStage.
SkyWorldHomeStage::entrance::tukkun000_exit::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun000_exit,home_out,,Home return: tukkun000_exit,,,,,generated,Links to TsukkunRotateExStage.
SkyWorldHomeStage::entrance::tukkun001_enter::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun001_enter,home_in,,Home entrance: tukkun001_enter,,,,,generated,Links to TsukkunClimbExStage.
SkyWorldHomeStage::entrance::tukkun001_exit::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun001_exit,home_out,,Home return: tukkun001_exit,,,,,generated,Links to TsukkunClimbExStage.
SkyWorldHomeStage::stage_change::Come::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,Come,raw,obj1400,Stage Change Come,19950.000,42500.000,21200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=WorldWarpHole.
SkyWorldHomeStage::stage_change::Go::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,Go,raw,obj1399,Stage Change Go,2610.000,28350.000,-38870.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=WorldWarpHole.
SkyWorldHomeStage::stage_change::SkyStart1::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,SkyStart1,raw,obj2719,Stage Change SkyStart1,29158.582,42331.621,-60132.844,2;3,needs_name,Raw UnitConfigName=PlayerStartObjNoLink.
SkyWorldHomeStage::stage_change::byoubu::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,byoubu,raw,obj2583,Stage Change byoubu,-29151.617,21770.000,-32900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DoorWarpStageChange. Target=SkyWorldCostumeStage.
SkyWorldHomeStage::stage_change::shop::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,shop,raw,obj1249,Stage Change shop,-29150.000,21750.000,-32350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=ChangeStageArea. Target=SkyWorldShopStage.
SkyWorldHomeStage::start,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SkyWorldHomeStage::event::MoonRockActive_Bowsers,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,state_event,StageData:progression_events,,,obj1378,Moon Rock,14650.000,28900.000,-45000.000,2;3,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1378.
SkyWorldHomeStage::event::WorldPeace_Bowsers,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,state_event,progression_events,,,,Bowser's Kingdom World Peace,,,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
SkyWorldShopStage::stage_change::shop::raw,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,stage_change,StageData,shop,raw,obj44,Stage Change shop,50.000,-100.000,350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=ChangeStageArea. Target=SkyWorldHomeStage.
SkyWorldShopStage::start,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SkyWorldShopStage::entrance::shop::sub_far,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,substage_entrance,EntranceDB,shop,sub_far,obj44,Substage far side: shop,50.000,-100.000,350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.
SkyWorldShopStage::entrance::shop::sub_near,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,substage_entrance,EntranceDB,shop,sub_near,obj44,Substage near side: shop,50.000,-100.000,350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.
