moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,status,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes
PoisonWaveExStage:381:237,Cap Kingdom,PoisonWaveExStage,Poison Tides,subarea,Slipping Through the Poison Tide,PoisonWaveExStage:381:237,381,237,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,600.000,2150.000,10150.000,PoisonWaveExStageMap.szs;ShineInfo.szs,PoisonWaveExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,9,-1,14,false,false,2;3;4,シャイン,くぐり抜けて 毒の波,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
FrogSearchExStage:106:238,Cap Kingdom,FrogSearchExStage,Frog Pond,subarea,Searching the Frog Pond,FrogSearchExStage:106:238,106,238,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-9545.940,-1200.000,10111.600,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,5,-1,14,false,false,2;3;4,シャインチップ全取得監視者,カエル池で さがし物,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
FrogSearchExStage:249:239,Cap Kingdom,FrogSearchExStage,Frog Pond,subarea,Secrets of the Frog Pond,FrogSearchExStage:249:239,249,239,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,1050.000,5250.000,-5350.000,FrogSearchExStageMap.szs;ShineInfo.szs,FrogSearchExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,8,-1,14,false,false,2;3;4,シャイン,カエル池の かくれ家,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2420:813,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Fog-Shrouded Platform,CapWorldHomeStage:2420:813,2420,813,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-8626.700,-1650.000,8202.440,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,21,-1,8,false,true,4,ここ掘れポイント,雲に沈んだ足元に,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2422:815,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Frog-Jumping from the Top Deck,CapWorldHomeStage:2422:815,2422,815,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,F,-1,,1;2;3,-1,None,,-4525.484,2450.000,13222.896,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,3,0,-1,14,false,false,2;3;4,シャイン,船の上で大ジャンプ！,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2423:816,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Danger Sign,CapWorldHomeStage:2423:816,2423,816,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,H,-1,,3,-1,None,,-7150.000,-1050.000,31000.000,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,22,-1,8,false,true,4,シャイン,ドクロ看板に乗っかって,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2424:817,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Under the Big One's Brim,CapWorldHomeStage:2424:817,2424,817,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,ShineAddByRock,H,-1,,3,-1,None,,3570.889,4350.000,-2793.072,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,25,-1,8,false,true,4,シャイン【月の石追加版】,大きな帽子の つばの下,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2444:861,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Cap Kingdom Timer Challenge 1,CapWorldHomeStage:2444:861,2444,861,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,2750.000,-1050.000,-2150.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,3,-1,14,false,false,2;3;4,帽子掛け（タイマー）,帽子の国で チクタク・アスレチック １,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
RollingExStage:11:950,Cap Kingdom,RollingExStage,Precision Rolling,subarea,Roll On and On,RollingExStage:11:950,11,950,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-27750.000,-16200.000,-29572.211,RollingExStageMap.szs;ShineInfo.szs,RollingExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,28,-1,8,false,true,4,シャイン【2m置き】,転がって 転がって,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
RollingExStage:4:951,Cap Kingdom,RollingExStage,Precision Rolling,subarea,Precision Rolling,RollingExStage:4:951,4,951,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,ShineWithAppearCamera,Common,,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-344.359,-4500.000,-24431.617,RollingExStageMap.szs;ShineInfo.szs,RollingExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,29,-1,8,false,true,4,シャイン【出現カメラあり】,ひたすら 転がった先,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2611:981,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Cap Kingdom Timer Challenge 2,CapWorldHomeStage:2611:981,2611,981,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,1900.000,-450.000,10400.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,26,-1,8,false,true,4,鍵付き宝箱,帽子の国で チクタク・アスレチック ２,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2681:1018,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Taking Notes: In the Fog,CapWorldHomeStage:2681:1018,2681,1018,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,ShineAddByRock,H,-1,,3,-1,None,,-10606.602,-1250.000,19091.883,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,24,-1,8,false,true,4,ステージスイッチ_音符オブジェディレクタ,雲の上で 音符集め,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2710:1019,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Frog-Jumping Above the Fog,CapWorldHomeStage:2710:1019,2710,1019,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,F,-1,,1;2;3,-1,None,,7106.424,3100.000,28178.205,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,3,1,-1,14,false,false,2;3;4,シャイン,船の上でスーパー大ジャンプ！,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2721:1025,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,"Spin the Hat, Get a Prize",CapWorldHomeStage:2721:1025,2721,1025,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-1873.830,630.000,12834.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,19,-1,8,false,true,4,反応するオブジェ,帽子のレリーフをまわして,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2730:1033,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Cap Kingdom Regular Cup,CapWorldHomeStage:2730:1033,2730,1033,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,6150.000,4959.000,-7800.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,14,-1,12,false,false,3;4,駆けっこ開始Npc,帽子の国 レギュラーカップ,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2729:1034,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Cap Kingdom Master Cup,CapWorldHomeStage:2729:1034,2729,1034,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,6150.000,4959.000,-7800.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,27,-1,8,false,true,4,駆けっこ開始Npc,帽子の国 マスターカップ,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2739:1038,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Bonneter Blockade,CapWorldHomeStage:2739:1038,2739,1038,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,B,-1,,2;3,-1,None,,-1150.000,-440.000,11000.000,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,2,13,-1,12,false,false,3;4,シャイン,カブロン人 通せんぼ,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2771:1073,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Taxi Flying Through Bonneton,CapWorldHomeStage:2771:1073,2771,1073,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-9550.000,-45.499,10450.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,15,-1,12,false,false,3;4,空飛ぶタクシー,空飛ぶタクシー カブロンを通過,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2789:1086,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Found with Cap Kingdom Art,CapWorldHomeStage:2789:1086,2789,1086,ShineFlag_HintArt,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,HintPhoto,B,,,2;3,,,,-4171.930,-450.000,6010.408,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,2,16,-1,12,false,false,3;4,ヒント写真,帽子の国で見つけた お宝写真,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2972:1156,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Bird Traveling in the Fog,CapWorldHomeStage:2972:1156,2972,1156,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,BirdCap,H,,,3,,,,5950.000,0.000,12600.000,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,23,-1,8,false,true,4,帽子の鳥,雲海の渡り鳥,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2975:1158,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Fly to the Edge of the Fog,CapWorldHomeStage:2975:1158,2975,1158,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,ShineAddByRock,H,-1,,3,-1,None,,5200.000,-2000.000,-15000.000,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,30,-1,8,false,true,4,シャイン【月の石追加版】,とんで とんで 雲の果て,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:1717:204,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,"Good Morning, Captain Toad!",WaterfallWorldHomeStage:1717:204,1717,204,ShineFlag_None,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,,,,,,,,,-8550.000,5040.000,3700.000,ShineInfo.szs,ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,1,10,-1,78,false,false,2;3;4;7,キノピオ隊長,おはよう！ キノピオ隊長,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:214:205,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Our First Power Moon,WaterfallWorldHomeStage:214:205,214,205,ShineFlag_Story,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,Shine,J,-1,,1;2;3;6,0,None,,5700.000,1250.000,700.000,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,4,0,0,79,false,false,1;2;3;4;7,シャイン_滝のワールドホーム檻000,はじめての パワームーン,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:407:206,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Chomp Through the Rocks,WaterfallWorldHomeStage:407:206,407,206,ShineFlag_None,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,ShineAddHeight,J,-1,,0;1;2;3;6;7,-1,None,,-9157.033,2586.983,1732.412,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,6,4,-1,79,false,false,1;2;3;4;7,シャイン【2m置き】,壁の岩を壊したら,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:1033:207,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Secret Path to Fossil Falls!,WaterfallWorldHomeStage:1033:207,1033,207,ShineFlag_None,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,Shine,J,-1,,0;1;2;3;6;7,-1,WorldWarpHoleShine,,4702.260,9050.000,9934.851,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,6,38,-1,79,false,false,1;2;3;4;7,シャイン,ようこそ！ ダイナフォー！,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:1526:208,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Across the Floating Isles,WaterfallWorldHomeStage:1526:208,1526,208,ShineFlag_None,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,ShineAddHeight,M,-1,,1;2;3;6,-1,None,,-17200.000,6750.000,-200.000,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,4,9,-1,78,false,false,2;3;4;7,シャイン【2m置き】,浮島を渡って,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:2467:209,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Peach in the Cascade Kingdom,WaterfallWorldHomeStage:2467:209,2467,209,ShineFlag_None,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,,,,,,,,,2550.000,6060.860,-700.000,ShineInfo.szs,ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,1,20,-1,12,false,false,3;4,世界旅行ピーチ,滝の国で ピーチ姫,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
WaterfallWorldHomeStage:2490:210,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Above a High Cliff,WaterfallWorldHomeStage:2490:210,2490,210,ShineFlag_None,,,,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,todo,,true,ShineAddHeight,M,-1,,1;2;3;6,-1,None,,3005.204,3023.371,8874.189,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,4,3,-1,78,false,false,2;3;4;7,シャイン【2m置き】,切り立った ガケの上,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
