stage,point_type,identifier,target_stage,obj_id,unit_config_name,x,y,z,scenario_indices,source_archive,source_file
CityWorldHomeStage,stage_change,Bonus,CityWorldSandSlotStage,obj9909088,DokanStageChange,-7600.000,81.000,-4000.000,0;2;5;6;8;10;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,taxi,ShootingCityExStage,obj9915009,DokanStageChange,800.000,-2.384,1700.000,0;2;5;6;8;9;10;11;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,taxireturn,ShootingCityExStage,obj9915010,DokanStageChange,800.000,-2.384,1700.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,onpu,Note2D3DRoomExStage,obj2834,ChangeStageArea,-1905.628,-50.000,1250.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,bou,PoleKillerExStage,obj4897,ChangeStageArea,5240.396,-50.000,-450.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,car,RadioControlExStage,obj5736,ChangeStageArea,-4099.522,50.000,7914.376,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,under001enter,CityWorldFactoryStage,obj5842,ChangeStageArea,-6950.000,-6565.734,-7400.000,1;3;4;7;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,densen,ElectricWireExStage,obj6473,ChangeStageArea,-5300.000,-50.000,-10414.004,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,Bonus,CityWorldSandSlotStage,obj9088,ChangeStageArea,-8145.875,50.000,-4000.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,kaitendokan,CapRotatePackunExStage,obj10736,ChangeStageArea,-6500.000,-6467.891,5250.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,bike02,TrexBikeExStage,obj11188,ChangeStageArea,-4008.421,-50.000,-5963.662,1;3;4;5;7;8;9;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,gunsyu,CityPeopleRoadStage,obj14328,ChangeStageArea,-7439.728,-182.742,-11316.779,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,taxi,ShootingCityExStage,obj15009,ChangeStageArea,400.000,-109.130,-2000.000,1;3;4;7;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj3994,,obj3994,CheckpointFlag,0.000,-11.035,10300.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj3998,,obj3998,CheckpointFlag,17865.000,-16.824,-10650.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj4000,,obj4000,CheckpointFlag,-7500.000,67.976,-8850.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj4904,,obj4904,CheckpointFlag,250.000,82.000,-7099.999,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj5012,,obj5012,CheckpointFlag,-7199.999,4039.714,1350.000,1;3;4;7;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,tenjo,PoleGrabCeilExStage,obj7092,BazookaElectric,-17350.000,-1900.000,-11850.000,1;3;4;7;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,SessionMember,,obj7158,PlayerStartObjNoLink,-120025.000,4900.000,-2050.000,1;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,SessionMayorComplete,,obj10083,PlayerStartObjNoLink,-120025.000,4900.000,-2200.000,1;9;11;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,gunsyudokan,CityPeopleRoadStage,obj14327,DokanStageChange,-16260.001,-2100.000,-11850.000,1;3;4;7;12,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,start,,obj3203,ShineGrand,0.000,300.000,-7050.000,3;4;7,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,session_end,,obj12611,PlayerStartObjNoLink,-120025.000,4900.000,-2050.000,3;4;7,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,back_from_ceremony,,obj16099,PlayerStartObjNoLink,-120741.336,4900.000,-2387.974,3;4;7,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,theater,Theater2DExStage,obj13499,ChangeStageArea,-6217.654,-50.000,-5513.361,4;7,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,CityWorldRacemanStart,,obj14414,PlayerStartObjNoLink,5950.000,3929.791,-300.000,4;7,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,start,CityWorldHomeStage,obj4110,ShineGrand,217.289,15304.356,-9823.104,6;10,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,session_restart,,obj12612,PlayerStartObjNoLink,-2750.000,2600.000,22850.000,6;10,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,MoonRock,,obj12582,PlayerStartObjNoLink,1300.000,2800.000,20950.000,7,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,CityWorldRacemanStart,,obj14415,PlayerStartObjNoLink,5550.000,3929.792,-650.000,8,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,Kinopio,ClashWorldShopStage,obj3798,ChangeStageArea,-2800.041,7300.000,3200.073,0;1;2;3,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,checkpoint,obj543,,obj543,CheckpointFlag,1600.000,2200.000,-3600.000,0;1;2;3,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,checkpoint,obj545,,obj545,CheckpointFlag,-2750.000,7248.565,4550.000,0;1;2;3,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,checkpoint,obj2899,,obj2899,CheckpointFlag,-5580.000,32.581,2550.000,0;1;2;3,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,ClashWorldMoonEX2,JangoExStage,obj1639,DokanStageChange,-1200.000,4100.000,3050.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,imomu_01,ImomuPoisonExStage,obj1640,DokanStageChange,6600.000,400.000,9000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,imomu_02,ImomuPoisonExStage,obj1641,DokanStageChange,5662.062,400.000,8631.596,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,ClashStart1,,obj2772,PlayerStartObjNoLink,6700.000,400.000,13300.000,2;3,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,MoonRock,,obj610,PlayerStartObjNoLink,8200.000,-428.193,-1150.000,3,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
ClashWorldHomeStage,stage_change,ClashStart1,,obj2773,PlayerStartObjNoLink,6100.000,400.000,13500.000,5,ClashWorldHomeStageMap.szs,ClashWorldHomeStageMap.byml
CloudWorldHomeStage,stage_change,cube,Cube2DExStage,obj184,DokanStageChange,-3200.000,200.000,3200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CloudWorldHomeStageMap.szs,CloudWorldHomeStageMap.byml
CloudWorldHomeStage,stage_change,Fukuwarai,FukuwaraiKuriboStage,obj124,DokanStageChange,-0.000,273.642,0.000,1;2;3,CloudWorldHomeStageMap.szs,CloudWorldHomeStageMap.byml
CloudWorldHomeStage,stage_change,MoonRock,,obj182,PlayerStartObjNoLink,-50.000,50.000,-10650.000,3,CloudWorldHomeStageMap.szs,CloudWorldHomeStageMap.byml
ForestWorldBossStage,stage_change,Boss_Respawn,ForestWorldHomeStage,obj587,MissRestartArea,0.000,0.000,-2200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldBossStageMap.szs,ForestWorldBossStageMap.byml
ForestWorldBossStage,stage_change,boss001,ForestWorldHomeStage,obj451,ChangeStageArea,0.000,3250.000,1000.000,1,ForestWorldBossStageMap.szs,ForestWorldBossStageMap.byml
ForestWorldBossStage,stage_change,boss001,ForestWorldHomeStage,obj609,ChangeStageArea,1150.000,3250.000,1000.000,2;3;4,ForestWorldBossStageMap.szs,ForestWorldBossStageMap.byml
ForestWorldBossStage,stage_change,boss002,ForestWorldHomeStage,obj453,DokanStageChange,0.000,0.000,-5290.234,2;3;4,ForestWorldBossStageMap.szs,ForestWorldBossStageMap.byml
ForestWorldHomeStage,stage_change,Tower001,ForestWorldTowerStage,obj264,ChangeStageArea,-4969.954,1950.000,-21516.254,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,boss001,ForestWorldBossStage,obj3141,ChangeStageArea,3650.000,8600.000,-22500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Jyukai001,ForestWorldWoodsStage,obj4530,ChangeStageArea,-1450.000,-5000.000,17868.768,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Jyukai003,ForestWorldWoodsStage,obj4531,ChangeStageArea,-20705.016,-5050.000,-7650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_Tankuro,ShootingElevatorExStage,obj4578,ChangeStageArea,6695.287,11050.000,-4923.150,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_RailCollision,RailCollisionExStage,obj5546,ChangeStageArea,5450.000,7150.000,-5300.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Tower002,ForestWorldTowerStage,obj6206,ChangeStageArea,-5000.000,5650.000,-20250.000,0;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj447,,obj447,CheckpointFlag,500.000,2900.000,-17650.000,0;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj3708,,obj3708,CheckpointFlag,-2950.000,50.000,-10050.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj3734,,obj3734,CheckpointFlag,-5950.000,5772.454,-19000.000,0;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj3835,,obj3835,CheckpointFlag,6500.000,14150.000,-6000.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj6865,,obj6865,CheckpointFlag,-3700.000,10550.000,-2850.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,StartPoint,,obj2,PlayerActorHakoniwa,-11950.104,21.497,6328.605,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_Water_Exit,ForestWorldWaterExStage,obj1488,DokanStageChange,-2800.000,-869.000,-11650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,boss002,ForestWorldBossStage,obj3953,DokanStageChange,3630.000,12269.357,-20600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,bonus2,ForestWorldBonusStage,obj4928,DokanStageChange,6550.000,10800.000,-8800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,MoonRock,,obj5126,PlayerStartObjNoLink,-2631.711,-115.715,11668.289,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Go,,obj5141,WorldWarpHole,-7750.000,6100.000,-4950.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_RailCollision_Exit,RailCollisionExStage,obj5548,DokanStageChange,7600.000,7000.000,-5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Jyukai001v,,obj5919,GrowPlantStartStage,-14200.000,-300.000,2200.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Jyukai002,,obj5920,GrowPlantStartStage,8250.000,2400.000,6650.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Jyukai003v,,obj5921,GrowPlantStartStage,-10050.000,-850.000,-12000.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_Tankuro_Exit,ShootingElevatorExStage,obj5928,DokanStageChange,7379.242,11162.000,-5100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_Water,ForestWorldWaterExStage,obj5935,DokanStageChange,-3598.530,-1705.289,-10692.957,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Come,,obj6073,WorldWarpHole,-3200.000,10550.000,-2350.000,0;1;2;3;4;7,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_AnimalChase,AnimalChaseExStage,obj6081,DokanStageChange,-6650.000,2900.000,-50.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,PoisonEx,PackunPoisonExStage,obj6437,DokanStageChange,3100.000,11250.000,-16600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,PoisonEx_Exit,PackunPoisonExStage,obj6580,DokanStageChange,4100.000,11250.000,-16600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,KillerRoad,KillerRoadExStage,obj6934,DokanStageChange,-373.890,450.000,-11687.598,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EX_Mist,FogMountainExStage,obj9904580,DokanStageChange,-10650.000,4399.998,-7550.000,0;5;6;7;8;9;10;11;12;13;14,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Tower002,ForestWorldTowerStage,obj282,ChangeStageArea,-5000.000,5700.000,-20250.000,1;2;3;4;5;6,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj1841,,obj1841,CheckpointFlag,4200.000,6035.521,400.000,1;2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj2821,,obj2821,CheckpointFlag,3630.000,12269.357,-21400.000,1;2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj5216,,obj5216,CheckpointFlag,-10800.000,3497.229,-5350.000,1;2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,checkpoint,obj7333,,obj7333,CheckpointFlag,2300.000,9200.000,-4250.000,1;2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
